,Province_State,Country_Region,Lat,Long,Date,Confirmed,Recovered,Deaths,geometry
18406,Saint Pierre and Miquelon,France,46.8852,-56.3159,3/31/20,0,2.0,0,POINT (-56.3159 46.8852)
18407,,South Sudan,6.8770000000000024,31.307,3/31/20,0,0.0,0,POINT (31.307 6.877000000000002)
18408,,Western Sahara,24.2155,-12.8858,3/31/20,0,21.0,0,POINT (-12.8858 24.2155)
18409,,Sao Tome and Principe,0.18636,6.613081,3/31/20,0,0.0,0,POINT (6.613081 0.18636)
18410,,Afghanistan,33.0,65.0,4/1/20,237,16.0,4,POINT (65 33)
18411,,Albania,41.1533,20.1683,4/1/20,259,0.0,15,POINT (20.1683 41.1533)
18412,,Algeria,28.0339,1.6596,4/1/20,847,0.0,58,POINT (1.6596 28.0339)
18413,,Andorra,42.5063,1.5218,4/1/20,390,0.0,14,POINT (1.5218 42.5063)
18414,,Angola,-11.2027,17.8739,4/1/20,8,0.0,2,POINT (17.8739 -11.2027)
18415,,Antigua and Barbuda,17.0608,-61.7964,4/1/20,7,0.0,0,POINT (-61.7964 17.0608)
18416,,Argentina,-38.4161,-63.6167,4/1/20,1054,0.0,28,POINT (-63.6167 -38.4161)
18417,,Armenia,40.0691,45.0382,4/1/20,571,0.0,4,POINT (45.0382 40.0691)
18418,Australian Capital Territory,Australia,-35.4735,149.0124,4/1/20,84,0.0,1,POINT (149.0124 -35.4735)
18419,New South Wales,Australia,-33.8688,151.2093,4/1/20,2182,0.0,9,POINT (151.2093 -33.8688)
18420,Northern Territory,Australia,-12.4634,130.8456,4/1/20,19,0.0,0,POINT (130.8456 -12.4634)
18421,Queensland,Australia,-28.0167,153.4,4/1/20,781,0.0,2,POINT (153.4 -28.0167)
18422,South Australia,Australia,-34.9285,138.6007,4/1/20,367,0.0,0,POINT (138.6007 -34.9285)
18423,Tasmania,Australia,-41.4545,145.9707,4/1/20,69,0.0,2,POINT (145.9707 -41.4545)
18424,Victoria,Australia,-37.8136,144.9631,4/1/20,968,0.0,4,POINT (144.9631 -37.8136)
18425,Western Australia,Australia,-31.9505,115.8605,4/1/20,392,0.0,2,POINT (115.8605 -31.9505)
18426,,Austria,47.5162,14.5501,4/1/20,10711,15.0,146,POINT (14.5501 47.5162)
18427,,Azerbaijan,40.1431,47.5769,4/1/20,359,104.0,5,POINT (47.5769 40.1431)
18428,,Bahamas,25.0343,-77.3963,4/1/20,21,90.0,1,POINT (-77.3963 25.0343)
18429,,Bahrain,26.0275,50.55,4/1/20,569,26.0,4,POINT (50.55 26.0275)
18430,,Bangladesh,23.685,90.3563,4/1/20,54,2.0,6,POINT (90.3563 23.685)
18431,,Barbados,13.1939,-59.5432,4/1/20,34,0.0,0,POINT (-59.5432 13.1939)
18432,,Belarus,53.7098,27.9534,4/1/20,163,280.0,2,POINT (27.9534 53.7098)
18433,,Belgium,50.8333,4.0,4/1/20,13964,57.0,828,POINT (4 50.8333)
18434,,Benin,9.3077,2.3158,4/1/20,13,28.0,0,POINT (2.3158 9.307700000000001)
18435,,Bhutan,27.5142,90.4336,4/1/20,4,4.0,0,POINT (90.4336 27.5142)
18436,,Bolivia,-16.2902,-63.5887,4/1/20,115,1.0,7,POINT (-63.5887 -16.2902)
18437,,Bosnia and Herzegovina,43.9159,17.6791,4/1/20,459,8.0,13,POINT (17.6791 43.9159)
18438,,Brazil,-14.235,-51.9253,4/1/20,6836,46.0,240,POINT (-51.9253 -14.235)
18439,,Brunei,4.5353,114.7277,4/1/20,131,5.0,1,POINT (114.7277 4.5353)
18440,,Bulgaria,42.7339,25.4858,4/1/20,422,573.0,10,POINT (25.4858 42.7339)
18441,,Burkina Faso,12.2383,-1.5616,4/1/20,282,92.0,16,POINT (-1.5616 12.2383)
18442,,Cabo Verde,16.5388,-23.0418,4/1/20,6,2998.0,1,POINT (-23.0418 16.5388)
18443,,Cambodia,11.55,104.9167,4/1/20,109,32.0,0,POINT (104.9167 11.55)
18444,,Cameroon,3.8480000000000003,11.5021,4/1/20,233,0.0,6,POINT (11.5021 3.848)
18445,Alberta,Canada,53.9333,-116.5765,4/1/20,754,431.0,9,POINT (-116.5765 53.9333)
18446,British Columbia,Canada,49.2827,-123.1207,4/1/20,1013,33.0,24,POINT (-123.1207 49.2827)
18447,Grand Princess,Canada,37.6489,-122.6655,4/1/20,13,6.0,0,POINT (-122.6655 37.6489)
18448,Manitoba,Canada,53.7609,-98.8139,4/1/20,127,52.0,1,POINT (-98.8139 53.7609)
18449,New Brunswick,Canada,46.5653,-66.4619,4/1/20,81,3751.0,0,POINT (-66.4619 46.5653)
18450,Newfoundland and Labrador,Canada,53.1355,-57.6604,4/1/20,175,0.0,1,POINT (-57.6604 53.1355)
18451,Nova Scotia,Canada,44.681999999999995,-63.7443,4/1/20,173,5.0,0,POINT (-63.7443 44.682)
18452,Ontario,Canada,51.2538,-85.3232,4/1/20,2392,2.0,37,POINT (-85.3232 51.2538)
18453,Prince Edward Island,Canada,46.5107,-63.4168,4/1/20,21,2.0,0,POINT (-63.4168 46.5107)
18454,Quebec,Canada,52.9399,-73.5491,4/1/20,4611,30.0,33,POINT (-73.5491 52.9399)
18455,Saskatchewan,Canada,52.9399,-106.4509,4/1/20,193,127.0,3,POINT (-106.4509 52.9399)
18456,,Central African Republic,6.6111,20.9394,4/1/20,3,73.0,0,POINT (20.9394 6.6111)
18457,,Chad,15.4542,18.7322,4/1/20,7,37.0,0,POINT (18.7322 15.4542)
18458,,Chile,-35.6751,-71.543,4/1/20,3031,90.0,16,POINT (-71.54300000000001 -35.6751)
18459,Anhui,China,31.8257,117.2264,4/1/20,990,0.0,6,POINT (117.2264 31.8257)
18460,Beijing,China,40.1824,116.4142,4/1/20,580,50.0,8,POINT (116.4142 40.1824)
18461,Chongqing,China,30.0572,107.874,4/1/20,579,17.0,6,POINT (107.874 30.0572)
18462,Fujian,China,26.0789,117.9874,4/1/20,345,3012.0,1,POINT (117.9874 26.0789)
18463,Gansu,China,37.8099,101.0583,4/1/20,138,0.0,2,POINT (101.0583 37.8099)
18464,Guangdong,China,23.3417,113.4244,4/1/20,1501,0.0,8,POINT (113.4244 23.3417)
18465,Guangxi,China,23.8298,108.7881,4/1/20,254,618.0,2,POINT (108.7881 23.8298)
18466,Guizhou,China,26.8154,106.8748,4/1/20,146,984.0,2,POINT (106.8748 26.8154)
